|index|sentID|caseNumber|isLast|rhetClass|text
0|0|1400029P1S1|1400029|False|Sentence|Citation Nr: 1400029
1|1|1400029P29S1|1400029|False|Sentence|FINDINGS OF FACT
2|3|1400029P34S1|1400029|False|FindingSentence|5. The Veteran's lay account of exposure to enemy mortar and gunfire attacks in Vietnam are credible and consistent with the places, types, and circumstances of the Veteran's service to include his military occupational specialty (MOS), unit, and assignment and duties, without clear and convincing evidence to the contrary.
3|5|1400029P35S1|1400029|False|FindingSentence|6. The most probative evidence establishes that the Veteran does not have a current diagnosis of PTSD in accordance within the applicable VA regulation.
4|6|1400029P46S1|1400029|False|Sentence|REASONS AND BASES FOR FINDINGS AND CONCLUSIONS
5|7|1400029P115S1|1400029|False|Sentence|Analysis - Service Connection for PTSD
6|9|1400029P116S1|1400029|False|EvidenceSentence|In this case, the Veteran has contended that he has PTSD attributable to several combat and noncombat-related stressors in Vietnam.
7|11|1400029P116S2|1400029|False|EvidenceSentence|Specifically, he has asserted that he experienced enemy attacks with gunfire close to his base immediately upon arriving in Vietnam with subsequent, occasional mortar attacks on the base.
8|13|1400029P116S3|1400029|False|EvidenceSentence|He has also claimed that, while he was riding in transportation convoys to deliver supplies, his unit sustained enemy mortar, artillery, and gunfire attacks on several occasions.
9|14|1400029P116S4|1400029|False|ReasoningSentence|(It is noted however that the Veteran contradicted this story at the September 2011 VA examination when reporting that he was not shot at while travelling in a convoy).
10|16|1400029P116S5|1400029|False|EvidenceSentence|"He has further maintained that one of his ""close friends"" was killed by military security while entering the gates of his base in an apparent accident, but he has noted that he did not witness the event."
11|18|1400029P116S6|1400029|False|EvidenceSentence|He has not provided the name of the deceased soldier.
12|20|1400029P116S7|1400029|False|EvidenceSentence|In addition, the Veteran has alleged that he had PTSD-related symptoms since service, especially anxiety.
13|21|1400029P116S8|1400029|False|CitationSentence|See July 2013 hearing testimony at pages 23-32; VA psychological examinations dated in December 1991, November 2010, and September 2011; September 2010 stressor statements.
14|23|1400029P117S1|1400029|False|FindingSentence|Upon review of the evidence of record, the Board finds that the Veteran is not entitled to service connection for PTSD.
15|26|1400029P118S1|1400029|False|EvidenceSentence|Initially, the Veteran's service personnel records and Report of Separation from the Armed Forces (DD Form 214) do not reflect receipt of medals, badges, or decorations that specifically denote combat with the enemy.
16|30|1400029P118S2|1400029|False|EvidenceSentence|His service personnel records and DD Form 214 do document that he received medals and awards, such as the Vietnam Service Medal, Vietnam Campaign Medal, and the National Defense Service Medal among others, but there is no award that establishes that he engaged in combat.
17|32|1400029P118S3|1400029|False|EvidenceSentence|Moreover, his military occupational specialty (MOS) was an armorer/unit supplier, which is not indicative of combat.
18|34|1400029P118S4|1400029|False|EvidenceSentence|He has also never stated that he actually engaged in combat with the enemy.
19|36|1400029P118S5|1400029|False|FindingSentence|Thus, the combat provisions are not for application.
20|37|1400029P118S6|1400029|False|CitationSentence|38 C.F.R. § 3.304(f)(2).
21|38|1400029P118S7|1400029|False|CitationSentence|See also 38 U.S.C.A. § 1154(b) and 38 C.F.R. § 3.304(d) (pertaining to combat Veterans).
22|39|1400029P119S1|1400029|False|LegalRuleSentence|"Nevertheless, under the July 13, 2010, liberalizing amendments to the PTSD regulation, the Veteran's lay testimony alone may establish the occurrence of claimed in-service stressors that are the result of ""fear of hostile military or terrorist activity"" in certain instances."
23|40|1400029P119S2|1400029|False|CitationSentence|38 C.F.R. § 3.304(f)(3).
24|42|1400029P119S3|1400029|False|EvidenceSentence|"In this regard, the September 2011 VA psychological examiner indicated that the Veteran's alleged stressors of enemy mortar, artillery, and gunfire attacks while travelling in supply convoys and while assigned to his base are related to the ""fear of hostile military or terrorist activity."""
25|43|1400029P119S4|1400029|False|ReasoningSentence|In addition, the Board finds that the Veteran's descriptions of the claimed enemy attack stressors are consistent with the places, types, and circumstances of the Veteran's service in the U.S. Army in Vietnam at that time.
26|44|1400029P119S5|1400029|False|CitationSentence|38 U.S.C.A. § 1154(a); 38 C.F.R. § 3.303(a).
27|47|1400029P119S6|1400029|False|EvidenceSentence|The Veteran's DD Form 214 and service personnel records confirm that he served in Vietnam from September 1970 to May 1971 with the 597th Transportation Company in the U.S. Army.
28|49|1400029P119S7|1400029|False|EvidenceSentence|His MOS as an armorer/unit supplier is also supportive of his assertions that he travelled in supply convoys in Vietnam on occasion, with the possibility of being subject to enemy attack on occasion.
29|50|1400029P119S8|1400029|False|ReasoningSentence|There is no clear and convincing evidence to the contrary that he was not involved in these incidents.
30|52|1400029P119S9|1400029|False|FindingSentence|Thus, under the amended PTSD regulation, the Veteran's lay testimony and statements alone establish the occurrence of the claimed in-service stressors of enemy mortar, artillery, and gunfire attacks while travelling in supply convoys and while assigned to his base.
31|53|1400029P119S10|1400029|False|CitationSentence|See 38 C.F.R. § 3.304(f)(3).
32|55|1400029P120S1|1400029|False|EvidenceSentence|The Veteran's service treatment records do not reveal complaints, treatment, or diagnosis of PTSD or any other acquired psychiatric disorder.
